let WebInput = `Nr,Sted,År,Inndeling,Rnr,Region,Fnr,Fylke,Sum of Antall personer 6-15,Sum of Folkemengde,Kunstnertetthet,Kunstnermangfold,SKS tildelinger,Kulturformidling,Kunstnerisk Produksjon,Media,Kommunale Midler,Total Besøk,Betalende Besøk,TONO Arrangemanger,TONO Avregning,Billettselskap Arrangemanger,Billettselskap Omsettning,Filmfremvisninger,Kinobesøk,Mangfold filmframvisniger,Mangfold kinobesøk,Utlån,Besøk,Voksne aktive lånere,Teater Forestillinger,Teater Publikum,Dans Forestillinger,Timer,Mangfold Timer,Elever,Publikum,Mangfold Publikum,Frifond,Riksantikvar og Kulturminnefond,Statsbudsjett og Kulturråd,Historielag,Husflidlag,Kor,Korps,MVA Refusjon,Voksenopplæring
722,Nøtterøy,2014,Kommune,3025,Tønsbergregionen,7,Vestfold,2760,21483,3.7,37,60.3,1.3,1.5,0.3,0,0,0,1.9,1.8,1.2,236.8,0,0,301,301,7,4.6,187.3,0.9,0.1,0.1,1.3,390,0.1,5.3,115,2.9,7,32.1,0,8.2,18.5,7.6,6.3,9
722,Nøtterøy,2015,Kommune,3025,Tønsbergregionen,7,Vestfold,2741,21621,3.2,52,62.8,1.2,1,0.5,0,0,0,0,0,1.2,269.8,0,0,304,304,6.7,4.5,184.2,0.9,0.1,0,1.4,386,0.1,6.1,85,1.5,0.9,9.3,0,8.2,19.9,7.4,11.9,8.2
723,Tjøme,2012,Kommune,3025,Tønsbergregionen,7,Vestfold,558,4865,5.8,6,44,0.6,2.9,0.2,0,0,0,5.1,0.6,7.8,357.3,0,0,282,282,6,2.6,160.5,0.2,0,0,1.3,363,0.1,4.6,243,0.8,0,0,0,5.8,10.9,15.2,9.3,0
723,Tjøme,2013,Kommune,3025,Tønsbergregionen,7,Vestfold,523,4927,5.1,20,86.9,0.8,2.2,0.2,0,0,0,8.7,0.5,7.7,352.9,0,0,305,305,5,2.7,161.2,0.2,0,0,1.3,392,0.1,5.9,83,3.5,24.4,14.2,0,0,14.4,12.6,13.9,0
723,Tjøme,2014,Kommune,3025,Tønsbergregionen,7,Vestfold,508,4962,5.8,7,48.1,0.6,3.2,0.2,0,0,0,8.7,0.5,7.7,350.4,0,0,301,301,4.6,2.4,154,0.8,0,0,1.3,387,0.1,5.2,177,1.5,108.9,0,0,0,18.7,9.5,10.3,0
723,Tjøme,2015,Kommune,3025,Tønsbergregionen,7,Vestfold,503,4971,6,3,42.2,0.4,1.8,0,0,0,0,0,0,5,337.5,0,0,304,304,5.1,2.4,169.8,0,0,0,1.4,385,0.1,5.8,127,0.5,0,0,0,0,17.3,12.1,1.1,0
728,Lardal,2012,Kommune,3026,Sandefjord/Larvik,7,Vestfold,285,2435,1.2,286,0,0.8,0.4,0.4,64.5,0,0,0.8,2.7,2.1,83.9,0,0,282,282,5.3,4.7,106.4,0.4,0,0,1.3,329,0.1,5.3,234,0,0,0,37.8,1.2,22.6,15.6,4.5,20.1
728,Lardal,2013,Kommune,3026,Sandefjord/Larvik,7,Vestfold,293,2460,1.2,283,0,0.8,0.8,0.4,84.6,0,0,2.4,9.1,2,83,0,0,305,305,4.4,3.7,97.6,0.4,0,0,1.3,325,0.1,5.3,146,2,0,0,37.4,0,22.4,15,7.9,19.9
728,Lardal,2014,Kommune,3026,Sandefjord/Larvik,7,Vestfold,300,2463,0.8,312,36.5,0.4,0.4,0.4,37.8,0,0,2.4,9.1,2,82.9,0,0,301,301,5.6,4.3,99.9,0,0,0,1.2,416,0.1,5.8,101,0,0,0,37.4,0,24.4,8.5,7.2,19.9
728,Lardal,2015,Kommune,3026,Sandefjord/Larvik,7,Vestfold,305,2474,0.8,314,0,0.8,0.8,0,4.9,0,0,0,0,1.6,115.7,0,0,304,304,4.6,2.1,94.2,0,0,0,1.3,333,0.2,4.7,289,0,0,0,36.4,0,18.2,12.1,3.5,29.1
